"","title","amount","namedep","transaction","view","city","date","page"
"1","
                      I Paid Rs. 10000 to Others in Kalahandi.
                    ","Paid INR 10,000
                        ","Others","Others","17 views","Kalahandi
                      , Orissa","November 04, 2015",1
"2","
                      I Paid Rs. 20000 to Others in Ahmedabad.
                    ","Paid INR 20,000
                        ","Others","Others","9 views","Ahmedabad
                      , Gujarat","November 04, 2015",1
"3","
                      I Paid Rs. 2000 to Police in Daudnagar.
                    ","Paid INR 2,000
                        ","Police","Traffic Violations","11 views","Daudnagar
                      , Bihar","November 04, 2015",1
"4","
                      I Paid Rs. 20 to Municipal Services in Thanjavur.
                    ","Paid INR 20
                        ","Municipal Services","Birth Certificate","15 views","Thanjavur
                      , Tamil Nadu","November 04, 2015",1
"5","
                      I Paid Rs. 1 to Others in Durgapur.
                    ","Paid INR 1
                        ","Others","Others","19 views","Durgapur
                      , West Bengal","November 04, 2015",1
"6","
                      I Paid Rs. 5000 to Municipal Services in Bhandara.
                    ","Paid INR 5,000
                        ","Municipal Services","Birth Certificate","18 views","Bhandara
                      , Madhya Pradesh","November 04, 2015",1
"7","
                      I Paid Rs. 2000 to Commercial Tax, Sales Tax, VAT in Abhayapuri.
                    ","Paid INR 2,000
                        ","Commercial Tax, Sales Tax, VAT","C Form","20 views","Abhayapuri
                      , Assam","November 04, 2015",1
"8","
                      I Paid Rs. 20000 to Food, Civil Supplies and Consumer Affairs in Coimbatore.
                    ","Paid INR 20,000
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","17 views","Coimbatore
                      , Tamil Nadu","November 04, 2015",1
"9","
                      I Paid Rs. 3000 to Municipal Services in Bokaro.
                    ","Paid INR 3,000
                        ","Municipal Services","Birth Certificate","20 views","Bokaro
                      , Jharkhand","November 04, 2015",1
"10","
                      I Paid Rs. 1 to Municipal Services in Abhayapuri.
                    ","Paid INR 1
                        ","Municipal Services","Birth Certificate","22 views","Abhayapuri
                      , Assam","November 04, 2015",1
"11","
                      I Paid Rs. 220 to Others in Achhnera.
                    ","Paid INR 220
                        ","Others","Others","25 views","Achhnera
                      , Uttar Pradesh","November 04, 2015",2
"12","
                      I Paid Rs. 150 to Municipal Services in Chennai.
                    ","Paid INR 150
                        ","Municipal Services","Birth Certificate","23 views","Chennai
                      , Tamil Nadu","November 04, 2015",2
"13","
                      I Paid Rs. 38 to Income Tax in Gorakhpur.
                    ","Paid INR 38
                        ","Income Tax","New PAN Card","19 views","Gorakhpur
                      , Uttar Pradesh","November 04, 2015",2
"14","
                      I Paid Rs. 100000 to Income Tax in Adari.
                    ","Paid INR 1,00,000
                        ","Income Tax","New PAN Card","27 views","Adari
                      , Uttar Pradesh","November 04, 2015",2
"15","
                      I Paid Rs. 200 to Others in New Delhi.
                    ","Paid INR 200
                        ","Others","Others","38 views","New Delhi
                      , Delhi","November 04, 2015",2
"16","
                      I Paid Rs. 100000 to Income Tax in Nagercoil.
                    ","Paid INR 1,00,000
                        ","Income Tax","New PAN Card","42 views","Nagercoil
                      , Tamil Nadu","November 04, 2015",2
"17","
                      I Paid Rs. 10000 to Police in Hyderabad.
                    ","Paid INR 10,000
                        ","Police","Police Harassment","38 views","Hyderabad
                      , Telangana","November 04, 2015",2
"18","
                      I Paid Rs. 10000 to Police in Malkangiri.
                    ","Paid INR 10,000
                        ","Police","Filing FIR","40 views","Malkangiri
                      , Orissa","November 04, 2015",2
"19","
                      I Paid Rs. 11000 to Commercial Tax, Sales Tax, VAT in Pune.
                    ","Paid INR 11,000
                        ","Commercial Tax, Sales Tax, VAT","C Form","29 views","Pune
                      , Maharashtra","November 04, 2015",2
"20","
                      I Paid Rs. 55555 to Others in Rajkot.
                    ","Paid INR 55,555
                        ","Others","Others","30 views","Rajkot
                      , Gujarat","November 04, 2015",2
"21","
                      I Paid Rs. 90 to Transport in Hyderabad.
                    ","Paid INR 90
                        ","Transport","Others","30 views","Rajkot
                      , Gujarat","November 04, 2015",3
"22","
                      I Paid Rs. 100 to Transport in Hyderabad.
                    ","Paid INR 100
                        ","Transport","New Domestic Driving License","37 views","Hyderabad
                      , Telangana","November 04, 2015",3
"23","
                      I Paid Rs. 1 to Municipal Services in Tatanagar.
                    ","Paid INR 1
                        ","Municipal Services","Registration of Vehicle","36 views","Hyderabad
                      , Telangana","November 04, 2015",3
"24","
                      I Paid Rs. 77777 to Municipal Services in Kolkata.
                    ","Paid INR 77,777
                        ","Municipal Services","Birth Certificate","38 views","Tatanagar
                      , Jharkhand","November 04, 2015",3
"25","
                      I Paid Rs. 10000 to Municipal Services in Pune.
                    ","Paid INR 10,000
                        ","Municipal Services","Birth Certificate","36 views","Kolkata
                      , West Bengal","November 04, 2015",3
