"","hotel","rating","price","distance","page","star","ctry"
"1","City Nebo","
                
                73 / 100
                Vurdering
                                8556 Anmeldelser
            ","
        â€Ž700 kr
    ","
                0,5 km til Centrum
 ",1,2,1
"2","Saga Hotel","
                
                73 / 100
                Vurdering
                                4793 Anmeldelser
            ","
        â€Ž5.117 kr
    ","
                0,6 km til Centrum
 ",1,2,1
"3","Cabinn City","
                
                74 / 100
                Vurdering
                                10487 Anmeldelser
            ","
        â€Ž840 kr
    ","
                0,6 km til Centrum
 ",1,2,1
"4","Zleep Hotel Centrum","
                
                63 / 100
                Vurdering
                                2371 Anmeldelser
            ","
        â€Ž1.029 kr
    ","
                0,7 km til Centrum
 ",1,2,1
"5","Wakeup Copenhagen ","
                
                77 / 100
                Vurdering
                                13008 Anmeldelser
            ","
        â€Ž1.650 kr
    ","
                0,9 km til Centrum
 ",1,2,1
"6","Generator Hostel Copenhagen","
                
                83 / 100
                Vurdering
                                13026 Anmeldelser
            ","
        â€Ž2.696 kr
    ","
                1,2 km til Centrum
 ",1,2,1
"7","Wakeup Copenhagen Borgergade","
                
                81 / 100
                Vurdering
                                8795 Anmeldelser
            ","
        â€Ž1.150 kr
    ","
                1,2 km til Centrum
 ",1,2,1
"8","Hotel Copenhagen","
                
                71 / 100
                Vurdering
                                2494 Anmeldelser
            ","
        â€Ž662 kr
    ","
                1,4 km til Centrum
 ",1,2,1
"9","Cabinn Metro","
                
                66 / 100
                Vurdering
                                10614 Anmeldelser
            ","
        â€Ž840 kr
    ","
                5,0 km til Centrum
 ",1,2,1
"10","Copenhagen Go ","
                
                68 / 100
                Vurdering
                                6391 Anmeldelser
            ","
        â€Ž515 kr
    ","
                5,7 km til KÃ¸benhavn
 ",1,2,1
"11","Copenhagen Downtown Hostel","
                
                82 / 100
                Vurdering
                                8333 Anmeldelser
            ","
        â€Ž979 kr
    ","
                0,4 km til Centrum
 ",1,3,1
"12","First Excelsior ex Comfort Excelsior","
                
                72 / 100
                Vurdering
                                1677 Anmeldelser
            ","
        â€Ž22.505 kr
    ","
                0,6 km til Centrum
 ",1,3,1
"13","Du Nord","
                
                76 / 100
                Vurdering
                                6275 Anmeldelser
            ","
        â€Ž1.600 kr
    ","
                0,6 km til Centrum
 ",1,3,1
"14","Copenhagen Star","
                
                69 / 100
                Vurdering
                                7987 Anmeldelser
            ","
        â€Ž5.883 kr
    ","
                0,6 km til Centrum
 ",1,3,1
"15","Best Western Hebron","
                
                80 / 100
                Vurdering
                                3287 Anmeldelser
            ","
        â€Ž1.828 kr
    ","
                0,6 km til Centrum
 ",1,3,1
"16","Andersen","
                
                85 / 100
                Vurdering
                                3105 Anmeldelser
            ","
        â€Ž1.458 kr
    ","
                0,7 km til Centrum
 ",1,3,1
"17","Ansgar","
                
                75 / 100
                Vurdering
                                5981 Anmeldelser
            ","
        â€Ž1.822 kr
    ","
                0,7 km til Centrum
 ",1,3,1
"18","Tiffany","
                
                80 / 100
                Vurdering
                                1719 Anmeldelser
            ","
        â€Ž1.395 kr
    ","
                0,7 km til Centrum
 ",1,3,1
"19","DGI- Byens","
                
                72 / 100
                Vurdering
                                3901 Anmeldelser
            ","
        â€Ž1.553 kr
    ","
                0,7 km til Centrum
 ",1,3,1
"20","Viktoria","
                
                56 / 100
                Vurdering
                                1029 Anmeldelser
            ","
        â€Ž1.499 kr
    ","
                0,8 km til Centrum
 ",1,3,1
"21","Savoy","
                
                78 / 100
                Vurdering
                                3529 Anmeldelser
            ","
        â€Ž1.391 kr
    ","
                0,8 km til Centrum
 ",1,3,1
"22","Copenhagen Crown","
                
                71 / 100
                Vurdering
                                2963 Anmeldelser
            ","
        â€Ž1.796 kr
    ","
                0,8 km til Centrum
 ",1,3,1
"23","CPH Living","
                
                86 / 100
                Vurdering
                                1065 Anmeldelser
            ","
        â€Ž1.460 kr
    ","
                1,0 km til Centrum
 ",1,3,1
"24","Cabinn Express","
                
                71 / 100
                Vurdering
                                1084 Anmeldelser
            ","
        â€Ž842 kr
    ","
                1,2 km til Centrum
 ",1,3,1
"25","Best Western City","
                
                79 / 100
                Vurdering
                                5024 Anmeldelser
            ","
        â€Ž2.696 kr
    ","
                1,3 km til Centrum
 ",1,3,1
"26","Christian IV","
                
                77 / 100
                Vurdering
                                2052 Anmeldelser
            ","
        â€Ž1.430 kr
    ","
                1,3 km til Centrum
 ",1,3,1
"27","Maritime","
                
                71 / 100
                Vurdering
                                3873 Anmeldelser
            ","
        â€Ž1.990 kr
    ","
                1,3 km til Centrum
 ",1,3,1
"28","Copenhagen Strand","
                
                79 / 100
                Vurdering
                                5619 Anmeldelser
            ","
        â€Ž1.596 kr
    ","
                1,4 km til Centrum
 ",1,3,1
