"","hotel","rating","page","star","ctry"
"1","Annex Copenhagen","78",1,1,1
"2","Villa Armonia Guest Rooms","81",1,1,1
"3","LÃ¸ven","76",1,1,1
"4","Danhostel Copenhagen City","77",1,1,1
"5","Rent a Room Copenhagen","75",1,1,1
"6","Hotel JÃ¸rgensen","64",1,1,1
"7","Urban House","83",1,1,1
"8","Nora","77",1,1,1
"9","Bedwood","83",1,1,1
"10","Studio RÃ¥dmandsgade","72",1,1,1
"11","Danhostel Copenhagen Amager","75",1,1,1
"12","Sleep-in Heaven","82",1,1,1
"13","Euroglobe","52",1,1,1
"14","Rent A Room Anex",NA,1,1,1
"15","Globalhagen Hostel",NA,1,1,1
"16","Wakeup Copenhagen Borgergade","81",1,2,1
"17","City Nebo","73",1,2,1
"18","Wakeup Copenhagen ","77",1,2,1
"19","Cabinn City","74",1,2,1
"20","Saga Hotel","73",1,2,1
"21","Generator Hostel Copenhagen","83",1,2,1
"22","Cabinn Metro","66",1,2,1
"23","Hotel Copenhagen","71",1,2,1
"24","Zleep Hotel Centrum","63",1,2,1
"25","Amager","73",1,2,1
"26","Hotel Windsor","71",1,2,1
"27","Comfort Vesterbro","76",1,3,1
"28","Savoy","78",1,3,1
"29","Alexandra","81",1,3,1
"30","Copenhagen Crown","71",1,3,1
"31","Cabinn Scandinavia","66",1,3,1
"32","Best Western Hebron","80",1,3,1
"33","Du Nord","76",1,3,1
"34","First Excelsior ex Comfort Excelsior","72",1,3,1
"35","Avenue","84",1,3,1
"36","Best Western Mercur","73",1,3,1
"37","Park Inn By Radisson Copenhagen Airport","73",1,3,1
"38","Danmark","69",1,3,1
"39","Ansgar","75",1,3,1
"40","Copenhagen Strand","79",1,3,1
"41","Copenhagen Star","69",1,3,1
"42","DGI- Byens","72",1,3,1
"43","Andersen","85",1,3,1
"44","CPH Living","86",1,3,1
"45","Profil Richmond","65",1,3,1
"46","Hotel Ã˜sterport","65",1,3,1
"47","Tiffany","80",1,3,1
"48","Cabinn Express","71",1,3,1
"49","Babette Guldsmeden","77",1,3,1
"50","Ibsens","78",1,3,1
"51","Axel Guldsmeden","82",1,3,1
"52","Rossini","67",2,3,1
"53","Bertrams - Hotel Guldsmeden","81",2,3,1
"54","Carlton Guldsmeden","81",2,3,1
"55","Christian IV","77",2,3,1
"56","Hotel Sankt Thomas","73",2,3,1
"57","Best Western City","79",2,3,1
"58","Maritime","71",2,3,1
